"","status","family","pval","qval","gene_short_name","num_cells_expressed","use_for_ordering"
"Ptrh1","OK","negbinomial.size",0.0153083125791922,0.0770920377851519,"Ptrh1",54,TRUE
"Stxbp1","OK","negbinomial.size",0.000133900348163996,0.0015110647548094,"Stxbp1",118,TRUE
"Fam129b","OK","negbinomial.size",0.000768064614277344,0.00689658018236532,"Fam129b",169,TRUE
"Lrsam1","OK","negbinomial.size",0.948026252502169,0.976395917516725,"Lrsam1",32,FALSE
"Rpl12","OK","negbinomial.size",8.76598810277192e-08,1.80241582898463e-06,"Rpl12",707,TRUE
"Slc2a8","OK","negbinomial.size",0.0792235464600027,0.248530349455199,"Slc2a8",117,TRUE
"Garnl3","OK","negbinomial.size",0.764926569203133,0.887425507679598,"Garnl3",19,FALSE
"Angptl2","OK","negbinomial.size",0.862086829584357,0.937858351366624,"Angptl2",389,TRUE
"Zbtb34","OK","negbinomial.size",0.761208510624704,0.886088949880221,"Zbtb34",13,FALSE
"Zbtb43","OK","negbinomial.size",0.961035864876405,0.982158495376653,"Zbtb43",41,TRUE
"Lmx1b","OK","negbinomial.size",0.0100858572116244,0.0566811012605133,"Lmx1b",20,FALSE
"C130021I20Rik","OK","negbinomial.size",0.208148489488786,0.450639871176842,"C130021I20Rik",33,FALSE
"Mvb12b","OK","negbinomial.size",0.947921167058348,0.976395917516725,"Mvb12b",44,TRUE
"Pbx3","OK","negbinomial.size",0.0180795912155212,0.0873275427418668,"Pbx3",84,TRUE
"Mapkap1","OK","negbinomial.size",0.0954606395234695,0.279586874265258,"Mapkap1",222,TRUE
"Gapvd1","OK","negbinomial.size",0.532885331500809,0.743226292688995,"Gapvd1",160,TRUE
"Hspa5","OK","negbinomial.size",0.00100500247100066,0.00870329033232878,"Hspa5",653,TRUE
"Rabepk","OK","negbinomial.size",0.561289223572427,0.762308452230349,"Rabepk",93,TRUE
"Fbxw2","OK","negbinomial.size",0.645021321812148,0.815537507867193,"Fbxw2",267,TRUE
"Psmd5","OK","negbinomial.size",0.0147215352329038,0.0749861471908729,"Psmd5",206,TRUE
"Traf1","OK","negbinomial.size",0.575231205355397,0.772834142892646,"Traf1",17,FALSE
"Cntrl","OK","negbinomial.size",0.732529902888067,0.869022935749847,"Cntrl",61,TRUE
"Rab14","OK","negbinomial.size",0.113086044199864,0.311252562754187,"Rab14",513,TRUE
"Gsn","OK","negbinomial.size",3.76815455744703e-51,6.30237910011214e-49,"Gsn",729,TRUE
"Stom","OK","negbinomial.size",0.0741761651382437,0.23803496750835,"Stom",46,TRUE
"Ggta1","OK","negbinomial.size",3.64546550280647e-08,7.85597815854794e-07,"Ggta1",277,TRUE
"Dab2ip","OK","negbinomial.size",0.0160060467755032,0.0796464299139825,"Dab2ip",80,TRUE
"Ndufa8","OK","negbinomial.size",0.494028625465138,0.715939154022389,"Ndufa8",481,TRUE
"Rbm18","OK","negbinomial.size",0.990447597132877,0.996363398306013,"Rbm18",130,TRUE
"Mrrf","OK","negbinomial.size",0.718207575513041,0.858569883848853,"Mrrf",71,TRUE
"Ptgs1","OK","negbinomial.size",1.01798256688158e-07,2.07032897358892e-06,"Ptgs1",18,FALSE
"Pdcl","OK","negbinomial.size",0.324640334388199,0.579009961348744,"Pdcl",153,TRUE
"Rc3h2","OK","negbinomial.size",0.617331331274525,0.79974738708235,"Rc3h2",140,TRUE
"Zbtb6","OK","negbinomial.size",0.426484134609495,0.668230035295582,"Zbtb6",32,FALSE
"Zbtb26","OK","negbinomial.size",0.924041152838243,0.964321733152165,"Zbtb26",11,FALSE
"Rabgap1","OK","negbinomial.size",0.87104729931648,0.942450133836099,"Rabgap1",96,TRUE
"Strbp","OK","negbinomial.size",0.470824587049482,0.699093722336888,"Strbp",149,TRUE
"Dennd1a","OK","negbinomial.size",0.947315233853966,0.976058708216949,"Dennd1a",83,TRUE
"Nek6","OK","negbinomial.size",0.546195269891679,0.752538408741166,"Nek6",28,FALSE
"Psmb7","OK","negbinomial.size",0.744810124261452,0.876930377385436,"Psmb7",489,TRUE
"Olfml2a","OK","negbinomial.size",3.14162857733546e-07,5.93677737565281e-06,"Olfml2a",16,FALSE
"Rpl35","OK","negbinomial.size",1.82265635762577e-07,3.56451782610023e-06,"Rpl35",722,TRUE
"Arpc5l","OK","negbinomial.size",0.0916041393446528,0.271660174429409,"Arpc5l",337,TRUE
"Golga1","OK","negbinomial.size",0.736666421313273,0.872353790260651,"Golga1",53,TRUE
"Scai","OK","negbinomial.size",0.686232097372154,0.839969075166834,"Scai",59,TRUE
"Ppp6c","OK","negbinomial.size",0.0210894754620723,0.0979803739751172,"Ppp6c",191,TRUE
"Gtdc1","OK","negbinomial.size",0.090386678544522,0.269381148874977,"Gtdc1",24,FALSE
"Zeb2","OK","negbinomial.size",0.000494042094949614,0.00468378656176428,"Zeb2",74,TRUE
"Acvr2a","OK","negbinomial.size",0.629609798027425,0.805686265731527,"Acvr2a",37,TRUE
